New Athletes Report - 2026-02-13 12:28:16
Total: 430 new athletes
============================================================

  Øyvind Strømmen Okeke (M, 1991) - Florø TIF
  Okeke (M, 1980) - 
  Moen (M, 1980) - IL i BUL-Tromsø
  Sæterstøl (M, 1980) - IL i BUL-Tromsø
  Sæterstøl (M, 1980) - IL i BUL-Tromsø
  Ramirez (M, 1980) - IL i BUL-Tromsø
  Moen (M, 1980) - IL i BUL-Tromsø
  Moen (M, 1980) - IL i BUL-Tromsø
  Kringeland (M, 1980) - IL i BUL-Tromsø
  Ertzgaard (M, 1980) - IL i BUL-Tromsø
  Moen (M, 1980) - IL i BUL-Tromsø
  Ertzgaard (M, 1980) - IL i BUL-Tromsø
  Ertzgaard (M, 1980) - IL i BUL-Tromsø
  Ertzgaard (M, 1980) - IL i BUL-Tromsø
  Moen (M, 1980) - IL i BUL-Tromsø
  Moen (M, 1980) - IL i BUL-Tromsø
  Kjensli (M, 1980) - IL i BUL-Tromsø
  Moen (M, 1980) - IL i BUL-Tromsø
  Sæterstøl (M, 1980) - IL i BUL-Tromsø
  Ramirez (M, 1980) - IL i BUL-Tromsø
  Ertzgaard (M, 1980) - IL i BUL-Tromsø
  Ertzgaard (M, 1980) - IL i BUL-Tromsø
  Ertzgaard (M, 1980) - IL i BUL-Tromsø
  Okeke (M, 1980) - IL i BUL-Tromsø
  Ertzgaard (M, 1980) - IL i BUL-Tromsø
  Rypdal (M, 1980) - IL i BUL-Tromsø
  Okeke (M, 1980) - IL i BUL-Tromsø
  Okeke (M, 1980) - IL i BUL-Tromsø
  Moen (M, 1980) - IL i BUL-Tromsø
  Sivle (M, 1980) - IL i BUL-Tromsø
  Ertzgaard (M, 1980) - IL i BUL-Tromsø
  Moen (M, 1980) - IL i BUL-Tromsø
  Ertzgaard (M, 1980) - IL i BUL-Tromsø
  Moen (M, 1980) - IL i BUL-Tromsø
  Mellin-Olsen (M, 1980) - IL i BUL-Tromsø
  Okeke (M, 1980) - IL i BUL-Tromsø
  Moen (M, 1980) - IL i BUL-Tromsø
